Source;Target;cri_comp;anb_name;ca_cpv;ca_criteria_count;ca_eufund;ca_nuts;ca_scntr_sc;ca_title;w_name;country;ca_date;ca_year;ca_contract_value;nocft;ca_procedure;ca_criterion
SK37861298;SK34105620;0,4015282;Nitriansky samosprávny kraj;45233140-2;2;0;SK023;0;Stavebná úprava cesty prieťah Nové Zámky;Inpek s.r.o;slovakia;8-Jan-09;2009;513665,66;0;invitation;lowest price
SK00691721;SK36581305;0,401037;Obec Smižany;45211000-9;6;0;SK042;0;Smižany - nájomné bytové domy s nižším štandardom, 16. b. j. - II. etapa;Š & L stav, s. r. o;slovakia;20-May-09;2009;397618,31;1;open;price plus quality
SK00313688;SK31601618;0,400772;Obec Podbrezová;45214210-5;2;1;SK032;0;Základná škola, Podbrezová - zateplenie;LESOSTAV, spol. s r. o;slovakia;1-May-09;2009;454836,17;0;invitation;lowest price
SK00317063;SK36014559;0,4001317;Obec Beluša;45000000-7;2;1;SK022;0;Rekonštrukcia a modernizácia Základnej školy Beluša;SESTAV, s. r. o;slovakia;23-May-09;2009;386002,57;1;open;lowest price
SK30416094;SK36862631;0,3990236;Ministerstvo dopravy, pôšt a telekomunikácií Sloven;45233110-3;4;0;SK0;1;Koncesia na projektovanie, výstavbu, financovanie, prevádzku a údržbu rýchlostnej cesty R1 Nitra - Tekovské Nemce a Banská Bystrica-severný obchvat, projekt PPP;GRANVIA, a. s;slovakia;14-Apr-09;2009;15020789;0;open;price plus quality
SK00603147;SK31678572;0,3980848;Mestská časť Bratislava - Staré Mesto;45214210-5;2;0;SK010;0;Výmena okien na ZŠ Mudroňova, ZŠ Vazovova, ZŠ Grösslingova, ZŠ Dubová, ZŠ Škarniclova, MŠ Šulekova, MŠ Gorazdova, Klub dôchodcov na Karadžičovej, Knižnica Blumentálska;HESTA, spol. s r.o;slovakia;12-Aug-09;2009;207283,72;1;open;lowest price
SK00603147;SK31678572;0,3971623;Mestská časť Bratislava - Staré Mesto;45214210-5;2;0;SK010;0;Výmena okien na ZŠ Mudroňova, ZŠ Vazovova, ZŠ Grösslingova, ZŠ Dubová, ZŠ Škarniclova, MŠ Šulekova, MŠ Gorazdova, Klub dôchodcov na Karadžičovej, Knižnica Blumentálska;HESTA, spol. s r.o;slovakia;12-Aug-09;2009;169267,88;1;open;lowest price
SK00603147;SK31678572;0,3963953;Mestská časť Bratislava - Staré Mesto;45214210-5;2;0;SK010;0;Výmena okien na ZŠ Mudroňova, ZŠ Vazovova, ZŠ Grösslingova, ZŠ Dubová, ZŠ Škarniclova, MŠ Šulekova, MŠ Gorazdova, Klub dôchodcov na Karadžičovej, Knižnica Blumentálska;HESTA, spol. s r.o;slovakia;12-Aug-09;2009;143024,53;1;open;lowest price
SK00603147;SK31678572;0,3953198;Mestská časť Bratislava - Staré Mesto;45214210-5;2;0;SK010;0;Výmena okien na ZŠ Mudroňova, ZŠ Vazovova, ZŠ Grösslingova, ZŠ Dubová, ZŠ Škarniclova, MŠ Šulekova, MŠ Gorazdova, Klub dôchodcov na Karadžičovej, Knižnica Blumentálska;HESTA, spol. s r.o;slovakia;12-Aug-09;2009;112933,39;1;open;lowest price
SK00603147;SK31678572;0,3952019;Mestská časť Bratislava - Staré Mesto;45214210-5;2;0;SK010;0;Výmena okien na ZŠ Mudroňova, ZŠ Vazovova, ZŠ Grösslingova, ZŠ Dubová, ZŠ Škarniclova, MŠ Šulekova, MŠ Gorazdova, Klub dôchodcov na Karadžičovej, Knižnica Blumentálska;HESTA, spol. s r.o;slovakia;12-Aug-09;2009;110045,63;1;open;lowest price
SK00603147;SK31678572;0,3916214;Mestská časť Bratislava - Staré Mesto;45214210-5;2;0;SK010;0;Výmena okien na ZŠ Mudroňova, ZŠ Vazovova, ZŠ Grösslingova, ZŠ Dubová, ZŠ Škarniclova, MŠ Šulekova, MŠ Gorazdova, Klub dôchodcov na Karadžičovej, Knižnica Blumentálska;HESTA, spol. s r.o;slovakia;12-Aug-09;2009;50125,481;1;open;lowest price
SK00603147;SK31678572;0,3907288;Mestská časť Bratislava - Staré Mesto;45214210-5;2;0;SK010;0;Výmena okien na ZŠ Mudroňova, ZŠ Vazovova, ZŠ Grösslingova, ZŠ Dubová, ZŠ Škarniclova, MŠ Šulekova, MŠ Gorazdova, Klub dôchodcov na Karadžičovej, Knižnica Blumentálska;HESTA, spol. s r.o;slovakia;12-Aug-09;2009;41201,745;1;open;lowest price
SK00332933;SK31684343;0,3883582;Mesto Vranov nad Topľou;45212000-6;4;0;SK041;1;Zimný štadión, Vranov nad Topľou;BETPRES, spol. s r. o;slovakia;20-Jan-09;2009;2829988,3;0;open;price plus quality
SK00613941;SK44303904;0,3855071;Obec Dolný Chotár;45211000-9;6;0;SK021;0;Bytový dom - nájomné byty 45 b. j;DCH - Stav, s. r. o;slovakia;26-Mar-09;2009;1803972,2;0;open;price plus quality
SK00311162;SK17623588;0,3815573;Mesto Topoľčany;45000000-7;6;0;SK023;1;Údržba a budovanie verejného osvetlenia, svetelnej signalizácie, elektroinštalácie v objektoch mesta Topoľčany;Marián Ondrejička ELEKTROMONT;slovakia;22-Apr-09;2009;135378,01;0;other/framework;price plus quality
SK00316181;SK36623768;0,3658122;Mesto Lučenec;45213250-0;6;1;SK032;1;Lučenec, kompostáreň BRO;REDOX SERVIS, s. r. o;slovakia;8-Jul-09;2009;1679527,5;1;open;price plus quality
SK00327158;SK36203611;0,362812;Obec Chminianske Jakubovany;45252127-4;2;1;SK041;0;Technická vybavenosť obce - kanalizácia a ČOV;HS HSV;slovakia;10-Oct-09;2009;3616883,5;1;invitation;lowest price
SK00307769;SK35101199;0,3615765;Obec Beladice;45233161-5;4;1;SK023;0;Centrálne námestie - Beladice;Emília Šutková ELSE STYL;slovakia;11-Dec-09;2009;623851,92;1;invitation;price plus quality
SK00314421;SK31563732;0,3615754;Obec Brezovica;45232400-6;4;0;SK031;0;Brezovica, splašková kanalizácia - 2. stavba;Cestné stavby Liptovský Mikuláš s.r.o;slovakia;4-Nov-09;2009;272397,33;1;open;price plus quality
SK37870475;SK36461733;0,360149;Prešovský samosprávny kraj;45214220-8;2;1;SK041;0;Rekonštrukcia Hotelovej akadémie Prešov;PKB invest, s.r.o;slovakia;3-Nov-09;2009;696935,97;1;open;lowest price
SK00316130;SK31588794;0,3601244;Obec Kokava nad Rimavicou;45214210-5;2;1;SK032;0;Rekonštrukcia Základnej školy s materskou školou na Štúrovej ulici v Kokave nad Rimavicou;Costruo, spool. s r.o;slovakia;15-Oct-09;2009;691085,8;1;open;lowest price
SK00311286;SK36390151;0,3585691;Obec Veľké Ripňany;45214210-5;2;1;SK023;0;Rekonštrukcia, modernizácia a zateplenie objektov Základnej školy s materskou školou Veľké Ripňany;OMOSS spol. s r.o;slovakia;9-Sep-09;2009;490125,27;1;open;lowest price
SK37801279;SK31690360;0,3546654;Katolícka univerzita v Ružomberku;45214410-7;2;1;SK041;0;"„Výstavba školského a ubytovacieho zariadenia Katolíckej univerzity v Ružomberku, pracovisko Pedagogickej fakulty v Levoči pre projekt Katolíckej univerzity v Ružomberku OPVaV 5.1.01 s kodifi""";DÚHA, a.s;slovakia;27-Nov-09;2009;3173604,4;1;invitation;lowest price
SK00321125;SK31631134;0,3514998;Mesto Žiar nad Hronom;45214100-1;2;1;SK032;0;Rekonštrukcia a modernizácia Materskej školy na Ul. Dr. Janského 8, Žiar nad Hronom;COMBIN BANSKÁ ŠTIAVNICA, s.r.o;slovakia;28-Oct-09;2009;1578666,6;1;invitation;lowest price
SK00329614;SK31588506;0,3508073;Mesto Spišská Nová Ves;45214210-5;2;1;SK042;0;Modernizácia budovy ZŠ na ulici Ing. Kožucha;ERPOS, spol. s r.o;slovakia;11-Aug-09;2009;1354585,8;1;invitation;lowest price
SK00329614;SK36197882;0,350776;Mesto Spišská Nová Ves;45214210-5;2;1;SK042;0;Stavebné úpravy 1. ZŠ Nad Medzou;IRES R+M, s.r.o;slovakia;22-Sep-09;2009;1343946;1;invitation;lowest price
SK00321303;SK36392821;0,3484465;Obec Hôrky;45214200-2;2;1;SK031;0;Stavebné úpravy a nadstavba s prístavbou ZŠ Hôrky;REKON s.r.o;slovakia;1-Aug-09;2009;806528,83;1;invitation;lowest price
SK00310964;SK31429424;0,3476123;Obec Prašice;45214100-1;2;1;SK023;0;Rekonštrukcia a modernizácia Základnej školy s materskou školou, ul. 1. mája 144, Prašice;STYLE-MONT spol. s r.o;slovakia;17-Oct-09;2009;672187,29;1;invitation;lowest price
SK00321982;SK36461733;0,3474749;Mesto Giraltovce;45231300-8;2;1;SK041;1;Giraltovce, Ulica kpt. Nálepku - kanalizácia;PKB invest, s.r.o;slovakia;12-Dec-09;2009;653514,02;1;invitation;lowest price
SK31947000;SK31651402;0,3474569;Kancelária ústavného súdu Slovenskej republiky;45216112-2;2;0;SK042;1;Stavebné úpravy administratívnej budovy č. 2 na ubytovací objekt;Inžinierske stavby, a.s;slovakia;26-Aug-09;2009;648979,02;1;invitation;lowest price
SK37861298;SK36555801;0,3470166;Nitriansky samosprávny kraj;45214220-8;2;1;SK023;0;Rekonštrukcia a modernizácia budov ZSŠ Dvory nad Žitavou;MOLDA stavebná firma, s.r.o;slovakia;17-Dec-09;2009;498963,3;1;invitation;lowest price
SK00324001;SK35740655;0,3466919;Obec Budimír;45214200-2;2;1;SK042;1;Rekonštrukcia Základnej a Materskej školy, Budimír;Špeciálne činnosti, s.r.o;slovakia;12-Nov-09;2009;550810,93;1;invitation;lowest price
SK00321613;SK10982868;0,3457918;Obec Stráňavy;45214210-5;2;1;SK031;0;Obnova a dodatočné zastrešenie Základnej školy a telocvične Stráňavy;Ing. Tibor Latko LAROKS;slovakia;17-Oct-09;2009;450654,84;1;invitation;lowest price
SK00306444;SK36526002;0,345704;Obec Dulovce;45214210-5;2;1;SK023;0;Rekonštrukcia Základnej školy v Dulovciach;S.F.H., s.r.o;slovakia;11-Nov-09;2009;443374,73;1;invitation;lowest price
SK00315231;SK36445941;0,3456283;Obec Hybe;45214210-5;2;1;SK031;1;Rekonštrukcia základnej školy, Hybe;Chemostav, a.s;slovakia;10-Nov-09;2009;436065,35;1;invitation;lowest price
SK00332291;SK31684343;0,3454662;Obec Čaklov;45214210-5;2;1;SK041;1;Rekonštrukcia základnej školy;Betpres s.r.o;slovakia;7-Jul-09;2009;419973,09;1;invitation;lowest price
SK00313211;SK35889969;0,3393123;Obec Zeleneč;45211000-9;2;0;SK021;0;Dostavba rozostavaných obecných nájomných bytov;Tinama, s. r. o;slovakia;16-May-09;2009;2458929,6;1;negotiation;lowest price
SK31364501;SK17317282;0,334678;Železnice Slovenskej republiky, Bratislava v skráten;45234100-7;0;1;SK022;1;ŽSR, Modernizácia železničnej trate Nové Mesto nad Váhom - Púchov, žkm 100,500 - 159,100 pre traťovú rýchlosť do 160 km/hod. - IV. a V. etapa (úsek Trenčianska Teplá - Ilava - Beluša);STRABAG s.r.o;slovakia;17-Dec-09;2009;2,86E+08;0;open;price plus quality
SK31364501;SK46342796;0,3342354;Železnice Slovenskej republiky, Bratislava v skráten;45234100-7;0;1;SK022;1;ŽSR, Modernizácia železničnej trate Nové Mesto nad Váhom - Púchov, žkm 100,500 - 159,100 pre traťovú rýchlosť do 160 km/hod. - I. etapa a II. etapa (úsek Nové Mesto nad Váhom - Zlatovce);"Združenie „Nové Mesto - Zlatovce 2009 - vedúci člen""";slovakia;8-Sep-09;2009;2,65E+08;0;open;price plus quality
SK31364501;SK45274924;0,3292826;Železnice Slovenskej republiky, Bratislava v skráten;45234100-7;2;1;SK031;1;ŽSR, Žilina Teplička zriaďovacia stanica, 2. stavba, 2. etapa;Združenie TEPLIČKA - vedúci účastník združenia EUROV;slovakia;4-Jul-09;2009;1,22E+08;0;open;lowest price
SK00325490;SK35925094;0,3286093;Mesto Michalovce;45316110-9;6;0;SK042;0;Komplexné riešenie modernizácie verejného osvetlenia v meste Michalovce;FIN.M.O.S., a. s;slovakia;23-May-09;2009;2938537,3;0;other/framework;price plus quality
SK00397687;;0,3285214;Slovenská technická univerzita v Bratislave - Rektor;45214400-4;2;0;SK01;1;Fakulta informatiky a informačných technológií STU v Bratislave;ZIPP Bratislava, spol. s r. o;slovakia;20-May-09;2009;19661213;0;open;lowest price
SK35884916;SK31355161;0,3267661;Letisko M. R. Štefánika - Airport Bratislava, a.s. (B;45213331-2;2;0;SK02;1;Rekonštrukcia a dostavba terminálu M. R. Štefánika v Bratislave - výstavba terminálu;ZIPP Bratislava, spol. s r. o;slovakia;21-Jan-09;2009;82786431;0;open;lowest price
SK35919001;;0,3236203;Národná diaľničná spoločnosť, a.s;45233000-9;2;0;SK01;0;Úprava stredného deliaceho pásu na diaľnici D1 v úseku Bratislava - Senec;Združenie Bratislava - Senec v zastúpení VÁHOSTAV-SK,;slovakia;3-Apr-09;2009;9104460,2;0;open;lowest price
SK00309371;SK36564052;0,3212489;Obec Zemné;45262500-6;2;0;SK023;0;7 b. j + 9 b. j. Typ Profis Zemné;Architech Group a.s., Zámocká 16, 811 03 Bratislava;slovakia;22-Dec-09;2009;608294,66;1;open;lowest price
SK37915568;SK31611788;0,3212304;Správa ciest Trenčianskeho samosprávneho kraja (SC T;45233141-9;2;1;SK022;0;Oprava ciest II. a III. triedy TSK dodávateľským spôsobom na rok 2009;SKANSKA B. S., a. s;slovakia;11-Jun-09;2009;3171845,4;1;open;lowest price
SK00326283;SK31355161;0,3197252;Mesto Kežmarok;45212211-8;2;0;SK041;1;Rekonštrukcia a prístavba zimného štadióna v Kežmarku;ZIPP Bratislava, s. r. o;slovakia;30-Apr-09;2009;2276695,9;1;open;lowest price
SK00151866;SK31345212;0,3193967;Ministerstvo vnútra Slovenskej republiky;45000000-7;2;0;SK0;1;Správa budov a súvisiace činnosti rozpočtových a príspevkových organizácií v správe MV SR a jeho zariadení v rámci celej SR;ISS Facility Services s.r.o;slovakia;9-Jul-09;2009;25949875;0;open;lowest price
SK00326470;SK31651518;0,3190727;Mesto Poprad;45223300-9;2;0;SK041;1;Park ARÉNA - Poprad JUH III;EUROVIA - Cesty, a.s;slovakia;3-Sep-09;2009;375661,75;1;open;lowest price
SK00309745;SK31431968;0,3184364;Mesto Myjava;45215200-9;2;1;SK022;0;Rekonštrukcia domu opatrovateľskej služby - DOS Myjava;Keraming a.s;slovakia;7-Oct-09;2009;1713686,9;1;open;lowest price
SK35919001;SK31651402;0,3179951;Národná diaľničná spoločnosť, a.s;45000000-7;2;1;SK041;1;Diaľnica D1 Studenec - Beharovce;Združenie INŽINIERSKE STAVBY, a. s;slovakia;7-Apr-09;2009;20827555;0;open;lowest price
SK00326470;SK31679030;0,3177475;Mesto Poprad;45215200-9;2;0;SK041;1;Centrum sociálnych služieb, Poprad - zmena dokončenej stavby;STEMP - M&G, s. r. o;slovakia;30-May-09;2009;1476024,5;1;open;lowest price
SK35919001;SK31611788;0,3174657;Národná diaľničná spoločnosť, a.s;45233110;2;0;SK031;1;Rýchlostná cesta R3 Horná Štubňa - obchvat;Združenie R3 Horná Štubňa - Skanska-STRABAG, zastúpen�;slovakia;30-Jan-09;2009;19244528;0;open;lowest price
SK36836567;SK34278532;0,3169902;Banskobystrická regionálna správa ciest, a.s;45221110-6;4;0;SK032;0;Cesta III/5294 Brezno most evidenčné č. 2;Ing. Jozef Horniak - VIALLE;slovakia;7-Jul-09;2009;654434,87;1;open;price plus quality
SK00321699;SK36396338;0,3152747;Obec Terchová;45221000-5;2;1;SK031;0;Terchová Struháreň-prívod vody zo zdroja Balátovia;Hydroekol Dolný Kubín, spol. s r. o;slovakia;29-Jan-09;2009;2606604,3;0;open;lowest price
SK00165361;SK31321275;0,3152525;Slovenská zdravotnícka univerzita v Bratislave;45220000-5;2;1;SK032;0;Rekonštrukcia a modernizácia polyfunkčného objektu Fakulty zdravotníctva SZU, Banská Bystrica - stavebné práce;SIBAMAC, a. s;slovakia;12-May-09;2009;2589781,2;0;open;lowest price
SK00332933;SK31611788;0,3152025;Mesto Vranov nad Topľou;45233161-5;2;0;SK041;0;Urbanisticko - architektonická úprava centra mesta Vranov nad Topľou - časť sever;Skanska BS a. s;slovakia;23-Jul-09;2009;843150,95;1;open;lowest price
SK36836567;SK17317282;0,3143115;Banskobystrická regionálna správa ciest, a.s;45233220-7;2;0;SK032;0;Rekonštrukcie (zosilnenia), vybraté úseky ciest II. a III. triedy Banskobystrického samosprávneho kraja, I. a II. časť;Združenie BBSK - STRABAG-DOPRASTAV (2009) STRABAG s.r.o;slovakia;23-Oct-09;2009;11674387;0;open;lowest price
SK00312673;SK36385743;0,3139724;Obec Košolná;45211340-4;2;0;SK021;0;Bytový dom - 17 b. j. v obci Košolná, prestavba a prístavba jestvujúceho objektu;VESTAM s. r. o;slovakia;17-Jul-09;2009;643545;1;open;lowest price
SK36126624;SK31333320;0,3137857;Trenčiansky samosprávny kraj;45233120-6;2;0;SK022;0;Rekonštrukcia ciest II. a III. triedy TSK dodávateľským spôsobom na rok 2009;Doprastav a.s;slovakia;10-Nov-09;2009;10782488;0;open;lowest price
SK35919001;SK31333320;0,3136033;Národná diaľničná spoločnosť, a.s;45233000-9;2;0;SK02;0;Úprava stredného deliaceho pásu na diaľnici D1 v úseku Senec - Trnava;Doprastav, a. s;slovakia;16-Apr-09;2009;10457224;0;open;lowest price
SK36022047;SK31563732;0,313562;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik, od;45246000-3;2;1;SK031;0;Tvrdošín - Oravice, úprava toku Oravice;Cestné stavby Liptovský Mikuláš, spol. s r. o;slovakia;17-Feb-09;2009;1992443,8;0;open;lowest price
SK35829141;SK31450474;0,3134001;Slovenská elektrizačná prenosová sústava, a.s;45232210-7;2;0;SK031;;Rekonštrukcia 400 kV vedenia V 406 v úseku Sučany - Hubová;VUJE, a. s;slovakia;8-May-09;2009;10139319;0;open;lowest price
SK36063606;SK34115951;0,3132285;Bratislavský samosprávny kraj;45215213-3;2;0;SK01;0;Rekonštrukcia Domova dôchodcov - penziónu pre dôchodcov, Hrnčiarska 35, Pezinok;REKORD, spol. s r. o;slovakia;3-Apr-09;2009;546544,19;1;open;lowest price
SK00003328;SK31568963;0,313106;Slovenská správa ciest;45233142-6;2;0;SK031;0;I/18 Makov - zosuv - rekonštrukcia št. cesty;Cestné stavby ŽILINA, spol. s r.o;slovakia;18-Dec-09;2009;532570,61;1;open;lowest price
SK00304956;SK35786639;0,3128819;Mesto Modra;45233123-7;2;0;SK010;0;Rekonštrukcia Vajanského ulice Modra, II. etapa;DUVYSTAV, s. r. o;slovakia;29-May-09;2009;506991,39;1;open;lowest price
SK00313106;SK34128344;0,3126279;Obec Trebatice;45233142-6;2;1;SK021;1;Trebatice, revitalizácia vidieckeho prostredia Hlavnej cesty - Ia. etapa;CESTY NITRA, a. s;slovakia;7-Apr-09;2009;478998,49;1;open;lowest price
SK00329614;SK31651518;0,312297;Mesto Spišská Nová Ves;45221111-3;2;0;SK042;1;Spišská Nová Ves - most Matuškova ulica s dopravným prepojením;EUROVIA - Cesty, a.s;slovakia;18-Dec-09;2009;1091873,6;1;invitation;lowest price
SK00321796;SK31333320;0,3121558;Mesto Žilina;45233140-2;2;0;SK031;0;Revitalizácia pozemných komunikácií v meste Žilina;Doprastav, a.s;slovakia;22-Oct-09;2009;8324630,4;0;open;lowest price
SK36836567;SK17317282;0,3118979;Banskobystrická regionálna správa ciest, a.s;45233220-7;2;0;SK032;0;Rekonštrukcie (zosilnenia), vybraté úseky ciest II. a III. triedy Banskobystrického samosprávneho kraja, I. a II. časť;Združenie BBSK - STRABAG-DOPRASTAV (2009) STRABAG s.r.o;slovakia;23-Oct-09;2009;7994561,5;0;open;lowest price
SK00318787;SK14183293;0,3118123;Obec Hrnčiarska Ves;45211350-7;2;1;SK032;0;Rekonštrukcia polyfunkčného objektu v obci Hrnčiarska Ves;Ing. Milan Podhora - CONSTRUCT;slovakia;5-May-09;2009;400841,88;1;open;lowest price
SK00318442;SK36326372;0,311699;Mesto Prievidza;45214210-5;2;0;SK022;1;Základná škola Malonecpalská 37, Prievidza - sanácia statických porúch bloku G;Si.To.Ro. s. r. o;slovakia;26-Aug-09;2009;389819,53;1;open;lowest price
SK35850370;SK31731244;0,3116495;Bratislavská vodárenská spoločnosť, a.s;45214610-9;2;0;SK010;1;Rekonštrukcia a dostavba laboratórií BVS na Bojnickej ulici;MILANKO, spol. s r. o;slovakia;22-May-09;2009;7704489,9;0;open;lowest price
SK35910739;SK36261157;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;TIM IS, s.r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK35840323;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Marko Gas s.r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK31657095;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Montrúr s.r.o. Košice;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK36218740;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Zempres, s.r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK00594482;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;PLYNROZ, a.s. Sobrance;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK36464261;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Svidgas, s.r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK36212415;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;KONŠTRUKTA, spol. s r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK36261157;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;TIM IS, s.r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK35840323;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Marko Gas s.r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK33945365;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Ján Prelec-FEJA;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK35833106;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;PSJ Hydrotranzit, a.s;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK14276925;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Jozef Plančár-GASMONTA;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK10861050;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;Zubaj Jozef;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK35910739;SK36467715;0,3114022;SPP - distribúcia, a.s;45112000-5;2;0;SK0;0;Zemné práce, výkopové práce a súvisiace služby na potrubných zariadeniach pre SPP - distribúcia, a.s;BEL SLOVAKIA, s.r.o;slovakia;13-Aug-09;2009;1411314,1;0;open;lowest price
SK00151866;SK36461733;0,3109967;Ministerstvo vnútra Slovenskej republiky;45216111-5;2;0;SK042;1;Trebišov OR PZ, sanácia sadania objektu;PKB invest s.r.o;slovakia;24-Jul-09;2009;334770,78;1;open;lowest price
SK36022047;SK31356648;0,310815;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;45111000-8;2;1;SK01;0;Suchohrad, dotesnenie podložia nábrežného múru v hrádzovom kilometri 19,657 - 20,309 Moravy;Skupina dodávateľov: VÁHOSTAV-SK, a. s., a ZAKLÁDÁNÍ;slovakia;16-Jun-09;2009;1290998,9;0;open;lowest price
SK00321842;SK31356648;0,3107253;Mesto Bardejov;45210000-2;2;1;SK041;1;Mestský hnedý priemyselný park Bardejov;VÁHOSTAV - SK, a. s;slovakia;17-Jun-09;2009;6664633,8;0;open;lowest price
SK00587583;SK17685541;0,3101115;Obec Pastovce;45112000-5;2;1;SK023;0;Rozšírenie kanalizácie obce Pastovce;Stanislav Orovnický - VODOSTAV;slovakia;25-Mar-09;2009;1156111,8;0;open;lowest price
SK00325490;SK31662919;0,3093326;Mesto Michalovce;45212224-2;2;0;SK042;0;Futbalový štadión mesta Michalovce - rekonštrukcia štadióna III. etapa;SCORP, spol. s r. o;slovakia;21-May-09;2009;2233013,8;1;open;lowest price
SK00003328;SK35802723;0,3092284;Slovenská správa ciest;45233121-3;2;1;SK021;1;Cesta I/51 Trnava - severný obchvat, II. etapa;Trnavská stavebná spoločnosť, a. s;slovakia;11-Mar-09;2009;5269746,3;0;open;lowest price
SK00603481;SK35943653;0,3088827;Hlavné mesto SR Bratislava;45000000-7;2;0;SK02;0;Oprava a údržba pozemných komunikácií, ciest I. až III. triedy, miestnych komunikácií I. a II. triedy a komunikácií na mostných objektoch na území mesta Bratislavy v správe Magistrátu hlavn;Technické služby stavby, s. r. o;slovakia;23-Apr-09;2009;4986508,4;0;open;lowest price
SK00327018;SK36449717;0,3087434;Obec Fintice;45332000-3;2;1;SK041;0;Fintice - vodovod, kanalizácia, ČOV;"Združenie Fintice - EKOSVIP - TUBAU""""";slovakia;4-Dec-09;2009;4804707,1;1;invitation;lowest price
SK35919001;SK31606458;0,308657;Národná diaľničná spoločnosť, a.s;45233210-4;2;0;SK0;0;Dočasné vodorovné dopravné značenie;SAROUTE, s. r. o;slovakia;12-Mar-09;2009;4817912,7;0;open;lowest price
SK37861298;SK31104266;0,3086166;Nitriansky samosprávny kraj;45262500-6;2;0;SK023;0;Prístavba telocvične ZSŠ HSaO, Nové Zámky;FKL a brat, spol. s r. o;slovakia;9-Feb-09;2009;917174,25;0;open;lowest price
SK00309320;SK36526002;0,3084757;Obec Trávnica;45262500-6;2;1;SK023;1;3 x 7 b. j. typ Profis 4, Trávnica;S. F. H., s. r. o;slovakia;26-Mar-09;2009;894436,58;0;open;lowest price
SK35541016;SK31711561;0,3081043;Košický samosprávny kraj;45214220-8;2;0;SK042;0;Obnoviteľné zdroje energie na školách v zriaďovateľskej pôsobnosti KSK;PLYNMONT - KOMP, s.r.o;slovakia;11-Jul-09;2009;177361,15;1;open;lowest price
